country_original,country_standardized
"Sint Maarten, Kingdom of the Netherlands",SINT MAARTEN KINGDOM OF THE NETHERLANDS
Slovakia,SLOVAKIA
Slovenia,SLOVENIA
Solomon Islands,SOLOMON ISLANDS
Somalia,SOMALIA
South Africa,SOUTH AFRICA
South and Central America,SOUTH AND CENTRAL AMERICA
South Sudan,SOUTH SUDAN
"South Sudan, Republic of",SOUTH SUDAN REPUBLIC OF
Spain,SPAIN
Sri Lanka,SRI LANKA
St Helena,ST HELENA
St Kitts and Nevis,ST KITTS AND NEVIS
St. Kitts and Nevis,ST KITTS AND NEVIS
St Lucia,ST LUCIA
St. Lucia,ST LUCIA
St Pierre and Miquelon,ST PIERRE AND MIQUELON
St Vincent and the Grenadines,ST VINCENT AND THE GRENADINES
St. Vincent and the Grenadines,ST VINCENT AND THE GRENADINES
Steel,STEEL
Sub Saharan Africa,SUB SAHARAN AFRICA
Sudan,SUDAN
Suriname,SURINAME
"Svalbard, Jan Mayen Island",SVALBARD JAN MAYEN ISLAND
Sweden,SWEDEN
Switzerland,SWITZERLAND
Syria,SYRIAN ARAB REPUBLIC
Türkiye,T RKIYE
"Türkiye, Republic of",T RKIYE REPUBLIC OF
Taiwan,TAIWAN
Taiwan Province of China,TAIWAN PROVINCE OF CHINA
Tajikistan,TAJIKISTAN
"Tajikistan, Republic of",TAJIKISTAN REPUBLIC OF
"Tanzania, United Republic of",TANZANIA UNITED REPUBLIC OF
Tanzania,"TANZANIA, UNITED REPUBLIC OF"
Thailand,THAILAND
"Timor-Leste, Democratic Republic of",TIMOR LESTE DEMOCRATIC REPUBLIC OF
Togo,TOGO
Tokelau,TOKELAU
Tonga,TONGA
Trinidad and Tobago,TRINIDAD AND TOBAGO
Tunisia,TUNISIA
Turkey,TURKEY
Turkmenistan,TURKMENISTAN
Turks and Caicos Islands,TURKS AND CAICOS ISLANDS
Tuvalu,TUVALU
Uganda,UGANDA
Ukraine,UKRAINE
Unidentified Countries,UNIDENTIFIED COUNTRIES
United Arab Emirates,UNITED ARAB EMIRATES
United Kingdom,UNITED KINGDOM
United Republic of Tanzania,UNITED REPUBLIC OF TANZANIA
Uruguay,URUGUAY
United States,USA
United States of America,USA
USMCA with Canada (Consump),USMCA WITH CANADA CONSUMP
USMCA with Mexico (Consump),USMCA WITH MEXICO CONSUMP
USSR,USSR
Uzbekistan,UZBEKISTAN
"Uzbekistan, Republic of",UZBEKISTAN REPUBLIC OF
Vanuatu,VANUATU
Vatican City,VATICAN CITY
Venezuela,VENEZUELA (BOLIVARIAN REPUBLIC OF)
"Venezuela, República Bolivariana de",VENEZUELA REP BLICA BOLIVARIANA DE
Viet Nam,VIET NAM
Vietnam,VIET NAM
Wallis and Futuna,WALLIS AND FUTUNA
West African Economic and Monetary Union (WAEMU),WEST AFRICAN ECONOMIC AND MONETARY UNION WAEMU
West Bank admin. by Israel,WEST BANK ADMIN BY ISRAEL
Western Sahara,WESTERN SAHARA
"World, Not Seasonally Adjusted",WORLD NOT SEASONALLY ADJUSTED
"World, Seasonally Adjusted",WORLD SEASONALLY ADJUSTED
Yugoslavia (former),YUGOSLAVIA FORMER
Zambia,ZAMBIA
Zimbabwe,ZIMBABWE
